TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7637971603249939,1438,822
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7861859666617592,1439,886
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7903091037369044,1439,899
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7849737532310429,1439,884
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8480764069234501,1438,1074
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8111310724507458,1438,959
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7637971603249939,1439,823
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8126979100736696,1439,963
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.762853764098579,1439,820
statechart.LabRecruitsSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7637971603249939,1439,822
statechart.LabRecruitsSimplified,CBRANCH;OUTPUT,0.7166666666666667,271,163
statechart.LabRecruitsSimplified,LINE,0.6408977556109726,401,257
