Directory,Statechart,NumStates,AvgDepth,MaxDepth
from_stl4iot/Library/AtomicComponents,Ultrasonic_Sensor,4,1.5,2
from_stl4iot/Library/BaseSystemUnits,AirConditioner_Unit,11,2.090909090909091,3
from_stl4iot/Library/BaseSystemUnits,Elevator_Unit,11,1.9090909090909092,3
from_stl4iot/Library/BaseSystemUnits,FireAlarm_Unit,20,2.4,3
from_stl4iot/Library/BaseSystemUnits,LEDLight_Unit,5,1.8,3
from_stl4iot/Library/BaseSystemUnits,Microwave_Unit,9,2.0,3
from_stl4iot/Library/BaseSystemUnits,TrafficLight_Unit,12,2.0833333333333335,3
from_stl4iot/Library/BaseSystemUnits,TV_Unit,6,1.8333333333333333,3
from_stl4iot/Library/Managers,Active_Systems_Manager,1,1.0,1
from_stl4iot/Library/Managers,HUB_PowerManager,4,1.25,2
from_stl4iot/Library/PhysicalEntities,PhysicalEntity_Template,12,2.1666666666666665,3
from_stl4iot/Library/PhysicalEntities,Ultrasonic_MotionDetector,12,2.1666666666666665,3
from_stl4iot/Library/SimEnvironment,Environment,21,2.857142857142857,5
