Directory,Statechart,NumStates,AvgDepth,MaxDepth,StandardEvosuiteCoverage,StandardSCTUnitCoverage,StandardSCTUnitStatus,SimplifiedEvosuiteCoverage,SimplifiedSCTUnitCoverage,SimplifiedSCTUnitStatus
from_itemis,childfirst,4,1.5,2,0.96,1.00,FAILED,0.92,1.00,PASSED
from_itemis,controller,2,1.0,1,0.62,0.66,PASSED,0.92,0.91,PASSED
from_itemis,cyclebased,5,1.0,1,0.58,0.00,PASSED,0.80,0.63,PASSED
from_itemis,DigitalWatch,26,2.1923076923076925,4,0.55,0.00,PASSED,0.59,0.18,PASSED
from_itemis,Elevator,4,1.5,2,0.61,0.00,PASSED,0.85,0.66,PASSED
from_itemis,EventBuffersDisabled,4,1.0,1,0.96,1.00,ERRORS,0.88,0.75,PASSED
from_itemis,EventBuffersEnabled,4,1.0,1,0.97,1.00,ERRORS,0.94,1.00,PASSED
from_itemis,eventdriven,5,1.0,1,0.57,0.00,PASSED,0.94,0.81,FAILED
from_itemis,keyboard,4,1.0,1,0.96,1.00,FAILED,0.93,1.00,PASSED
from_itemis,light_controller,4,1.5,2,0.56,0.00,PASSED,NOT GENERATED,0.00,NOT GENERATED
from_itemis,light_switch,2,1.0,1,0.64,0.00,PASSED,0.92,1.00,PASSED
from_itemis,LightCtrl,2,1.0,1,0.59,0.00,PASSED,0.92,1.00,PASSED
from_itemis,orthogonality,7,1.5714285714285714,2,0.97,0.14,ERRORS,0.95,0.14,ERRORS
from_itemis,Parent,2,1.0,1,0.97,0.91,FAILED,NOT GENERATED,0.00,NOT GENERATED
from_itemis,parentfirst,4,1.5,2,0.92,0.80,FAILED,0.88,0.80,PASSED
from_itemis,rgb,5,1.0,1,0.92,0.76,FAILED,0.86,0.76,FAILED
from_itemis,signalcontrol,9,2.111111111111111,3,0.64,0.04,ERRORS,NOT GENERATED,0.00,NOT GENERATED
from_itemis,Statechart,2,1.0,1,0.97,1.00,FAILED,0.93,1.00,PASSED
from_itemis,StateMachine,2,1.0,1,0.60,0.00,PASSED,0.96,1.00,PASSED
from_itemis,StreetCrossingSystem,4,1.0,1,0.59,0.00,PASSED,0.56,0.00,PASSED
from_itemis,SuperStepsDisabled,4,1.0,1,0.97,0.90,ERRORS,0.85,0.63,PASSED
from_itemis,SuperStepsEnabled,4,1.0,1,0.96,1.00,ERRORS,0.92,1.00,PASSED
from_itemis,TrafficLightCtrl,13,2.3846153846153846,3,0.57,0.00,ERRORS,0.79,0.72,PASSED
from_itemis,TrafficLightCtrl1,14,2.0,3,0.57,0.00,PASSED,0.67,0.33,PASSED
from_itemis,TrafficLightStateMachine,9,2.0,3,0.55,0.00,PASSED,0.79,0.65,PASSED
from_itemis,TwoWayTrafficControl,9,1.6666666666666667,2,0.60,0.00,ERRORS,NOT GENERATED,0.00,NOT GENERATED
from_itemis,watch,ERROR,ERROR,ERROR,NOT GENERATED,0.00,NOT GENERATED,NOT GENERATED,0.00,NOT GENERATED
from_itemis,watch_subdiagrams,ERROR,ERROR,ERROR,NOT GENERATED,0.00,NOT GENERATED,NOT GENERATED,0.00,NOT GENERATED
from_itemis,ZowiSCT,12,1.6666666666666667,2,0.54,0.00,PASSED,0.64,0.30,PASSED
from_other_repos,_MotorControl,5,1.8,2,0.96,1.00,FAILED,0.93,1.00,PASSED
from_other_repos,_Physics,3,1.6666666666666667,2,0.64,0.00,PASSED,0.92,1.00,PASSED
from_other_repos,_Trolley,23,2.739130434782609,4,0.52,0.00,ERRORS,0.71,0.36,PASSED
from_other_repos,A,1,1.0,1,0.64,0.00,PASSED,0.91,0.80,PASSED
from_other_repos,alarm2,4,1.0,1,0.57,0.00,PASSED,0.93,0.92,PASSED
from_other_repos,ArduinoHMI,19,2.3684210526315788,3,0.52,0.00,PASSED,0.64,0.30,PASSED
